# Time,Average V (Brightness) Value
1.000000000000000000e+00,2.429310742187500125e+02
2.000000000000000000e+00,2.430596647135416788e+02
3.000000000000000000e+00,2.431829850260416777e+02
4.000000000000000000e+00,2.444803320312499864e+02
5.000000000000000000e+00,2.454714876302083439e+02
6.000000000000000000e+00,2.463566731770833371e+02
7.000000000000000000e+00,2.502867220052083326e+02
8.000000000000000000e+00,1.813866877971473741e+02
9.000000000000000000e+00,1.445547301811893135e+02
1.000000000000000000e+01,8.675214705439204010e+01
1.100000000000000000e+01,5.750785829307568520e+01
1.200000000000000000e+01,1.243370349475934518e+02
1.300000000000000000e+01,8.437328802389043858e+01
1.400000000000000000e+01,6.031686930091185417e+01
1.500000000000000000e+01,7.141555465696185934e+01
1.600000000000000000e+01,6.565827142598297428e+01
1.700000000000000000e+01,5.700793179698252544e+01
1.800000000000000000e+01,1.281051357235730848e+02
1.900000000000000000e+01,1.186938787556814816e+02
2.000000000000000000e+01,nan
2.100000000000000000e+01,6.180641824806856732e+01
2.200000000000000000e+01,1.109274259260376994e+02
2.300000000000000000e+01,5.738667160403944223e+01
2.400000000000000000e+01,nan
2.500000000000000000e+01,6.456396449601361098e+01
2.600000000000000000e+01,1.201807362474938969e+02
2.700000000000000000e+01,7.256024601621470538e+01
2.800000000000000000e+01,9.327527182689202334e+01
2.900000000000000000e+01,1.449552238805970035e+02
3.000000000000000000e+01,5.998440291779362354e+01
3.100000000000000000e+01,1.310034472656249989e+02
3.200000000000000000e+01,1.067526807333102710e+02
3.300000000000000000e+01,9.118192057291666686e+01
3.400000000000000000e+01,nan
3.500000000000000000e+01,7.065277777777777146e+01
3.600000000000000000e+01,6.213205365402405533e+01
3.700000000000000000e+01,nan
3.800000000000000000e+01,nan
3.900000000000000000e+01,nan
4.000000000000000000e+01,6.911124790151090735e+01
4.100000000000000000e+01,nan
4.200000000000000000e+01,nan
4.300000000000000000e+01,6.569458483754512201e+01
4.400000000000000000e+01,6.425876010781671255e+01
4.500000000000000000e+01,nan
4.600000000000000000e+01,6.412942112709266951e+01
4.700000000000000000e+01,5.393918189451797218e+01
4.800000000000000000e+01,7.465240536277602246e+01
4.900000000000000000e+01,5.558064516129032029e+01
5.000000000000000000e+01,nan
5.100000000000000000e+01,6.242131979695431454e+01
5.200000000000000000e+01,5.000000000000000000e+01
5.300000000000000000e+01,nan
5.400000000000000000e+01,nan
5.500000000000000000e+01,5.032857142857142918e+01
5.600000000000000000e+01,5.655808280117672382e+01
5.700000000000000000e+01,nan
5.800000000000000000e+01,5.552753313381786882e+01
5.900000000000000000e+01,nan
6.000000000000000000e+01,7.806245800176834848e+01
6.100000000000000000e+01,5.404712041884816642e+01
6.200000000000000000e+01,6.304052780395853262e+01
6.300000000000000000e+01,5.284608497241718084e+01
6.400000000000000000e+01,8.936436280361536433e+01
6.500000000000000000e+01,5.428625843979042997e+01
6.600000000000000000e+01,5.287549530761209837e+01
6.700000000000000000e+01,nan
6.800000000000000000e+01,5.950410921687156218e+01
6.900000000000000000e+01,6.735000869111767940e+01
7.000000000000000000e+01,1.042681348457114865e+02
7.100000000000000000e+01,5.321301718574467543e+01
7.200000000000000000e+01,7.578955485512986456e+01
7.300000000000000000e+01,nan
7.400000000000000000e+01,5.588847120333968377e+01
7.500000000000000000e+01,6.967856588764615822e+01
7.600000000000000000e+01,1.075012319203183466e+02
7.700000000000000000e+01,nan
7.800000000000000000e+01,5.651923076923076650e+01
7.900000000000000000e+01,nan
8.000000000000000000e+01,nan
8.100000000000000000e+01,nan
8.200000000000000000e+01,6.198291182501709073e+01
8.300000000000000000e+01,6.259034204852513028e+01
8.400000000000000000e+01,5.969905085706190562e+01
8.500000000000000000e+01,6.068830793592422879e+01
8.600000000000000000e+01,8.333867547179941937e+01
8.700000000000000000e+01,9.789324682984370440e+01
8.800000000000000000e+01,nan
8.900000000000000000e+01,nan
9.000000000000000000e+01,7.684828124999999943e+01
9.100000000000000000e+01,1.834529974360355027e+02
9.200000000000000000e+01,1.544689520469578383e+02
9.300000000000000000e+01,1.808158625718597818e+02
9.400000000000000000e+01,1.751754988260165931e+02
9.500000000000000000e+01,1.543481902792140659e+02
9.600000000000000000e+01,5.866666666666666430e+01
9.700000000000000000e+01,5.494298245614034926e+01
9.800000000000000000e+01,nan
9.900000000000000000e+01,nan
1.000000000000000000e+02,5.285197141299739343e+01
1.010000000000000000e+02,9.259221240515789475e+01
1.020000000000000000e+02,1.493920008745889731e+02
1.030000000000000000e+02,7.851020408163265074e+01
1.040000000000000000e+02,5.583891671006770707e+01
1.050000000000000000e+02,9.240188891634406332e+01
1.060000000000000000e+02,6.427980569049270798e+01
1.070000000000000000e+02,1.191866337372782283e+02
1.080000000000000000e+02,6.296383154417836181e+01
1.090000000000000000e+02,5.049865951742627601e+01
1.100000000000000000e+02,1.266897211699191956e+02
1.110000000000000000e+02,9.274886877828053855e+01
1.120000000000000000e+02,9.466606873009142475e+01
1.130000000000000000e+02,nan
1.140000000000000000e+02,nan
1.150000000000000000e+02,5.000000000000000000e+01
1.160000000000000000e+02,5.545069225163954485e+01
1.170000000000000000e+02,5.407854259465479174e+01
1.180000000000000000e+02,6.808215613382900244e+01
1.190000000000000000e+02,5.888726471766119630e+01
1.200000000000000000e+02,6.630705111572392241e+01
