# Time,Average V (Brightness) Value
1.000000000000000000e+00,2.429310742187500125e+02
2.000000000000000000e+00,2.430596647135416788e+02
3.000000000000000000e+00,2.431829850260416777e+02
4.000000000000000000e+00,2.444803320312499864e+02
5.000000000000000000e+00,2.454714876302083439e+02
6.000000000000000000e+00,2.463566731770833371e+02
7.000000000000000000e+00,2.502867220052083326e+02
8.000000000000000000e+00,1.813866877971473741e+02
9.000000000000000000e+00,1.445547301811893135e+02
1.000000000000000000e+01,8.675214705439204010e+01
1.100000000000000000e+01,5.750785829307568520e+01
1.200000000000000000e+01,1.243370349475934518e+02
1.300000000000000000e+01,8.437328802389043858e+01
1.400000000000000000e+01,6.031686930091185417e+01
1.500000000000000000e+01,7.141555465696185934e+01
1.600000000000000000e+01,6.565827142598297428e+01
1.700000000000000000e+01,5.700793179698252544e+01
1.800000000000000000e+01,1.281051357235730848e+02
1.900000000000000000e+01,1.186938787556814816e+02
2.000000000000000000e+01,nan
2.100000000000000000e+01,6.180641824806856732e+01
2.200000000000000000e+01,1.109274259260376994e+02
2.300000000000000000e+01,5.738667160403944223e+01
2.400000000000000000e+01,nan
2.500000000000000000e+01,6.456396449601361098e+01
2.600000000000000000e+01,1.201807362474938969e+02
2.700000000000000000e+01,7.256024601621470538e+01
2.800000000000000000e+01,9.327527182689202334e+01
2.900000000000000000e+01,1.449552238805970035e+02
3.000000000000000000e+01,5.998440291779362354e+01
3.100000000000000000e+01,1.310034472656249989e+02
3.200000000000000000e+01,1.067526807333102710e+02
3.300000000000000000e+01,9.118192057291666686e+01
3.400000000000000000e+01,nan
3.500000000000000000e+01,7.065277777777777146e+01
3.600000000000000000e+01,6.213205365402405533e+01
3.700000000000000000e+01,nan
3.800000000000000000e+01,nan
3.900000000000000000e+01,nan
4.000000000000000000e+01,6.911124790151090735e+01
4.100000000000000000e+01,nan
4.200000000000000000e+01,nan
4.300000000000000000e+01,6.569458483754512201e+01
4.400000000000000000e+01,6.425876010781671255e+01
4.500000000000000000e+01,nan
4.600000000000000000e+01,6.412942112709266951e+01
4.700000000000000000e+01,5.393918189451797218e+01
4.800000000000000000e+01,7.465240536277602246e+01
4.900000000000000000e+01,5.558064516129032029e+01
5.000000000000000000e+01,nan
5.100000000000000000e+01,6.242131979695431454e+01
5.200000000000000000e+01,5.000000000000000000e+01
5.300000000000000000e+01,nan
5.400000000000000000e+01,nan
5.500000000000000000e+01,5.032857142857142918e+01
5.600000000000000000e+01,5.655808280117672382e+01
5.700000000000000000e+01,nan
5.800000000000000000e+01,5.552753313381786882e+01
5.900000000000000000e+01,nan
6.000000000000000000e+01,7.806245800176834848e+01
6.100000000000000000e+01,5.404712041884816642e+01
6.200000000000000000e+01,6.304052780395853262e+01
6.300000000000000000e+01,5.284608497241718084e+01
6.400000000000000000e+01,8.936436280361536433e+01
6.500000000000000000e+01,5.428625843979042997e+01
6.600000000000000000e+01,5.287549530761209837e+01
6.700000000000000000e+01,nan
6.800000000000000000e+01,5.950410921687156218e+01
6.900000000000000000e+01,6.735000869111767940e+01
